country,industry,employee_count,incident_year,security_attribute,compromise_variety_1,confidentiality_state,data_type,confidence,data_disclosure,action,action_variety,action_vector,state_nonstate,asset_group,asset_variety_1,confidentiality_data_total,t_availability_duration_unit,t_discovery_unit,t_containment_unit,t_exfiltration_unit,t_compromise_unit,summary
United States,construction,1 to 10,2015,integrity,fraudulent transaction,unknown,pii,,yes,misuse,knowledge abuse,physical access,nonstate,media,documents,,,,,,,"indicted on fraudulent use of access devices, mail fraud and aggravated identity theft charges after allegedly using the personal information of several business customers to obtain credit"
United States,government,10001 to 25000,2013,confidentiality,data loss,,pii,,yes,misuse,privilege abuse,lan access,nonstate,server,database,,,,,,,A dishonest employee was arrested on suspicion of misusing client information to apply for credit cards.  The dishonest employee was able to pose as different clients seeking immunizations and other services.  She was charged with fraudulent use or possession of identifying information and credit card abuse.  UPDATE (01/31/2013): The employee was working for the Northeast Texas Public Health district when she was arrested for stealing the identities of patients at a clinic in Mount Pleasant.  She began working in the Texas Department of State Health Services clinic in 2008.
Gabon,government,,2013,availability,interruption,,,,,hacking,dos,web application,nonstate,server,web application,,,hours,,None,minutes,Anonymous Hackers Disrupt Website of Gabons President
"Taiwan, Province of China",government,,2013,integrity,software installation,unknown,,,,malware,export data,email attachment,state-affiliated,user device,desktop,,,,,,,threat actor sends spearphishing message leading to malware installation.
United States,administrative and support,101 to 1000,2019,integrity,alter behavior,stored,phi,medium,yes,hacking,use of stolen creds,web application,nonstate,server,email,17694.0,,,,,,phishing leads to email compromise at healthcare organization
United States,government,over 100000,2013,integrity,alter behavior,,,,yes,social,extortion,in-person,nonstate,server,database,2.0,,,,,,"A physician in a Minneapolis VA Healthcare System Clinic had seen  a patient. During the visit it was determined that a form was required to be completed.  The physician left the room to obtain or to fill out the form. The physician failed to logoff from his workstation which displayed a CPRS data from a patient that he had treated earlier. An X-ray for the earlier patient was also visible on a PACs workstation in the same room. When the physician returned to the room, the current patient made a declaration that she had taken a photograph of the x-ray and if the physician had not filled out the form for her, she would have reported the physician for a HIPAA violation. She then displayed her cell phone and deleted what she told the physician was a picture of the x-ray."
United States,information telecom,101 to 1000,2014,confidentiality,data loss,stored unencrypted,pii,medium,yes,hacking,exploit vuln,web application,nonstate,server,database,1000000.0,,years,weeks,,,"The US Federal Trade Commission has sued an IT provider for failing to detect 20 hacking intrusions over a 22-month period, allowing the hacker to access the data for 1 million consumers. The provider only discovered the breach when the hacker maxed out the provider’s storage system.  Utah-based InfoTrax Systems was first breached in May 2014, when a hacker exploited vulnerabilities in the company’s network that gave remote control over its server, FTC lawyers alleged in a complaint. According to the complaint, the hacker used that control to access the system undetected 17 times over the next 21 months. Then on March 2, 2016, the intruder accessed personal information for about 1 million consumers. The data included full names, social security numbers, physical addresses, email addresses, phone numbers, and usernames and passwords for accounts on the InfoTrax service."
Ireland,finance and insurance,101 to 1000,2012,confidentiality,data loss,stored encrypted,ip,high,yes,misuse,privilege abuse,lan access,nonstate,server,email,,,,,,,emailed confidential business information to competitor
United States,healthcare,101 to 1000,2016,integrity,,stored encrypted,pii,,yes,misuse,possession abuse,physical access,nonstate,server,database,100.0,,,,,,identity theft from nurse
United States,healthcare,101 to 1000,2018,integrity,fraudulent transaction,,pii,medium,yes,physical,theft,visitor privileges,nonstate,media,documents,,,months,,,,Home health worker charged with identity theft
United States,government,,2017,integrity,alter behavior,,pii,high,yes,hacking,,,nonstate,server,remote access,,,seconds,,,minutes,"Arizona lawmakers got hacked this week. And when they clicked the link to change their password, a screen with Russian writing popped up."
United States,finance and insurance,25001 to 50000,2013,integrity,modify data,,,,,error,,,nonstate,server,,,,hours,days,None,None,Technical error in system casues Goldman Sachs to issue incorrect equity options orders
United States,healthcare,101 to 1000,2015,integrity,alter behavior,stored unencrypted,phi,,yes,misuse,,,nonstate,people,human resources,,,years,,,,Man falsely claiming to be an LVN using a stolen identity
Turkey,government,,2013,confidentiality,data loss,unknown,pii,,yes,hacking,,web application,nonstate,server,web application,,,,,,,"RedHack (activist group) hacked the official website of the Union of Municipalities of Turkey (tbb.gov.tr) and leaked the usernames and the passwords of the sites members.  The passwords are hashed before being stored in the websites database, but RedHack has cracked and published them in clear text."
United States,healthcare,,2017,confidentiality,data loss,printed,phi,medium,yes,error,disposal error,carelessness,nonstate,media,documents,50.0,,hours,hours,,hours,Medical records found in trash bins in Palolo
United States,transportation,,2013,integrity,hardware tampering,transmitted unencrypted,pii,,yes,physical,tampering,public facility,nonstate,terminal,,,,,,,,Authorities say 4 charged in MTA skim scam
"Korea, Republic of",finance and insurance,101 to 1000,2013,integrity,software installation,,,,,hacking,use of backdoor or c2,backdoor or c2,state-affiliated,user device,desktop,,,,hours,,,"Operation Troy Incident 2: South Korea was hit by a major cyberattack on March 20, 2013, at 2:00 pm local time. This cyberattack caused a significant amount of damage to the affected organizations by wiping the hard drives of tens of thousands of computers. Analysis of this attackknown first as Dark Seoul and now as Operation Troyhas revealed that in addition to the data losses of the MBR wiping, the incident was more than cybervandalism. The attacks on South Korean targets were actually the conclusion of a covert espionage campaign."
United States,government,11 to 100,2017,integrity,software installation,,,high,no,malware,ransomware,,nonstate,server,database,,,hours,,None,minutes,An Indiana Public Library Recovers From Ransomware Attack - Brownsburg Public Library
United States,finance and insurance,11 to 100,2017,integrity,fraudulent transaction,processed,pii,high,yes,physical,skimmer,victim grounds,nonstate,terminal,atm,,,weeks,minutes,,minutes,ATM Skimmer Found At Drive-Thru Of Wilmette Bank: Police - North Shore Community Bank
Armenia,government,,2013,integrity,modify data,,,,,hacking,,web application,nonstate,server,web application,,,,,,,Web defacement: A profile Syrian hacker going with the handle of Dr.SHA6H has hacked the official website of United Nation (UN) in Armenia.
,"professional, scientific, and technical services",,2013,integrity,software installation,,,,,hacking,exploit vuln,,nonstate,server,web application,,,,hours,,,"Pakistani hackers of the Xploiters Crew have breached and defaced Translate.com, a fairly popular free online tool that provides translations between 75 languages"
United States,healthcare,,2013,confidentiality,data loss,stored encrypted,pii,,yes,hacking,,web application,nonstate,server,database,847.0,,,,,,McGowan Institute for Regenerative Medicine hacked and authentication data posted publicly.
Spain,government,,2012,integrity,software installation,,ip,high,yes,hacking,exploit vuln,backdoor or c2,state-affiliated,user device,desktop,,,,,,,"Incident associated with Red October campaign. Phishing email with malware attachment leading to infection, C2, credential compromise, and lateral movement through network. Goal to steal classified info and secrets."
United States,education,,2017,integrity,alter behavior,stored,,high,yes,social,phishing,email,nonstate,people,human resources,,,minutes,,,minutes,Tyler ISD leaks employee data after phishing attack
United States,healthcare,1001 to 10000,2016,integrity,software installation,unknown,,,,malware,ransomware,,nonstate,server,,,,,,,,Ransomware infects two servers
United States,government,101 to 1000,2012,confidentiality,data loss,stored,pii,,yes,misuse,privilege abuse,physical access,nonstate,server,database,86.0,,,,,,"The Palm Beach County (Fla.) Health Department issued a public notice that at least 86 patients of its health centers may have had confidential information in their medical records disclosed to an unauthorized source.  The breach occurred when an employee created a client list containing names and Social Security numbers for 86 patients and attempted to mail the list, according to the release. Law enforcement was able to confiscate the list in May, and further investigation showed that the names were used for fraudulent activity. According to the release, the document did not contain bank account, credit card or other personal information.  According to the release, the employee has been removed from access to any and all health department information. "
United States,healthcare,101 to 1000,2017,integrity,software installation,,,medium,potentially,malware,ransomware,,nonstate,,,,hours,,hours,,,Ransomware attack
United States,retail trade,10001 to 25000,2017,integrity,hardware tampering,,,high,,physical,skimmer,victim public area,nonstate,terminal,atm,,,,,,minutes,Skimming device found at Lawncrest store - 7-Eleven
